adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
DPH5,APLNR,RPGRIP1L,CREBL2,SUSD6,PRKRIP1,PLA2G3,CARD10,PUM3,HCFC1R1,GADD45B,TTC29,,SYTL4,RNF125,MTERF2,NR2C1,,CYREN,ADAMTSL4,,GAPDH,PALM,,FERMT1,,SUSD6,CDS2,NUTF2,PGAP6,MRPL3,SQLE,SYTL4,L3HYPDH,,PIGL,THADA,SNX14,,BACH2,ECHDC2,TRPV4,,SLC17A6,PTGES3L-AARSD1,CYP2C8,MOGAT3,SLC7A5,IGDCC4,CAB39L,CDCA8,FAM104A,HSP90AB1,,B9D2,MAST3,PCED1A,WWC1
IRF6,C5AR2,BCKDK,CDK2AP1,SRSF5,STRIP2,LGALS1,PLA2G3,CNOT4,NPRL3,PALM,ANKRD42,,ZDHHC15,POLI,WASHC3,SORBS3,,AKR1D1,SLC27A3,,GNB3,MKNK2,,PLCB4,,SRSF5,HM13,LONP2,KCNA5,ACVR2B,SH2D4A,ZDHHC15,TRMT5,,SLC6A4,TRAK2,LCA5,,RBM24,RNF2,FOXM1,,RGS17,MPP2,ENTPD1,C1GALT1,METRN,TTC23,KLF5,TUT4,ZNF414,CDC5L,,FAM124B,MZF1,MMACHC,ERGIC1
RPS6KA1,BIVM,IL21R,TBC1D30,DICER1,CALU,PATZ1,GGA1,PSEN1,MPG,ARVCF,GGH,,PBDC1,MIB1,APAF1,PTK2B,,CHST3,GALNT2,,CHPT1,ARVCF,,MYL9,,EIF5,PLCB4,CCL17,SAT1,ABCC5,INTS10,PBDC1,PLEKHG3,,BLMH,ATP6V1B1,PHF21A,,GPR63,MAPK8IP1,ARPC3,,PSME1,RANGRF,BARD1,ZNHIT1,NUBP1,CD276,DNAJC3,PDGFRA,HSPBP1,ITPR3,,ZNFX1,OCEL1,MUTYH,STC2
DHDDS,ERCC5,RNF40,CNOT2,ZC3H14,SMO,TRIOBP,HPS4,CLDND1,NAGPA,ZDHHC8,SULF1,,BEX4,RBBP8,PPP3CC,EPHX2,,ECD,ETNK2,,ATN1,SNAP29,,TM9SF4,,ZC3H14,TM9SF4,ACD,MOSPD2,AADAC,ERICH1,GLA,DYNC2I1,,GOSR1,PLEKHA3,B4GALNT1,,WASF1,CAT,DUSP16,,HAUS4,DPH1,ITPRID2,GLCCI1,UBE2I,DTWD1,ARHGEF7,BIVM,SLC2A11,SIRT1,,CDH26,PSMD8,LPIN3,SMC4
STX12,ARHGAP32,AQP9,TIMELESS,TELO2,ARHGAP22,ANKRD54,TRIOBP,HSP90AA1,CRISPLD2,SNAP29,SDCBP,,RUBCNL,RIOK3,PDLIM2,RNF170,,DDX54,GALM,,RAB35,DERL3,,POFUT1,,TELO2,KIF3B,PSMD7,DOCK6,ARHGEF26,TUSC3,BEX4,AIF1L,,FTSJ3,EPHA4,FAIM2,,ALDH5A1,LRIF1,NAA25,,SLC7A8,MAP2K6,ABI2,NRF1,EEF2K,BMF,PARP4,C9orf40,GIMAP4,IFT74,,PEPD,SETD1A,CHRM3,KNG1
MTARC2,ADAMTS8,CORO2B,KRR1,GSKIP,TTBK2,EIF3L,EIF3L,RBL1,NME4,CECR2,SORL1,,NDFIP2,PSMD10,LYPLA1,SCPEP1,,MED13L,ANKRD53,,COL12A1,TBC1D10A,,MROH8,,BDKRB1,NOP56,SETD6,NECTIN2,DNAH1,ARHGEF10,NALCN,INTS11,,AKAP10,ALMS1,ESPL1,,HECA,GTF3A,SCNN1A,,SLC22A17,SLC9A3R1,SLC40A1,ZNF862,ZNF174,EIF3J,INTS6,PSAT1,KRAS,ABL1,,NAGK,BCL7C,CSNK1G2,CD86
OSBPL9,TMED7,CD276,ING4,VRK1,CCDC32,CCDC134,SNU13,DLGAP4,NOMO3,BCL2L13,TRPC6,,DNAJC3,GPR143,SLC35B1,TRMT1L,,DDX39A,TEX261,,FRK,SEC14L2,,NOP56,,GSKIP,MANBAL,SLC38A7,FAM98C,CLCN2,KLHDC4,NDFIP2,IPPK,,C17orf75,PRRX1,RAB11FIP5,,PHACTR2,SASH3,OGFOD2,,RNF31,TMEM97,HERC5,AHR,HMOX2,SPG11,MGRN1,HNF1A,IPO8,ACOT7,,MPHOSPH10,ATP5F1D,PDZD2,NIT2
POLR1G,C9orf40,FAH,TPI1,PAPLN,DLL4,PICK1,MICALL1,RSBN1,ANTKMT,DDTL,MMP27,,ARHGEF7,MID1,ADCY7,B4GALT4,,TRIR,MALL,,DSE,YPEL1,,SNTA1,,VRK1,MAPRE1,VAC14,ACTN4,NEK4,ASAH1,CAB39L,PPCS,,DHX58,FAM20B,GNS,,C6orf118,TRMT13,RASAL1,,HECTD1,RAB34,MMRN1,COA1,XYLT1,ZDHHC2,TRADD,DTX1,CA1,CDC7,,BTN2A2,TECR,GIMAP4,KPNA1
STK11,CCNJL,TMEM87A,PTPN6,PSMB5,KNSTRN,CENPM,CCDC134,OSTM1,SLC7A5,DDT,YAP1,,MRPS31,NXT2,RNF2,PEX16,,ADGRE5,RABL2A,,TPD52L1,PRODH,,OXT,,PAPLN,JAG1,HAS3,STK33,ADAM23,NUCB1,KLF5,RAB3IP,,NAGLU,WRAP73,CPM,,PPP2R5D,SLC66A2,EIF2B1,,HNRNPC,USP46,FRAS1,TMEM248,PYCARD,BRF2,ACD,CEP162,LYVE1,PCSK5,,PEX6,CDC34,AGAP3,XRN1
KMT2A,RNFT2,ATP8B4,SUDS3,YY1,SPCS3,DDX17,DEPDC5,ARG2,NUBP1,CABIN1,PPP2R1B,,SLC25A15,WDR13,TRMT1L,TMEM39B,,WDR83,SPOPL,,HINT3,CYTH4,,TTI1,,RPS6KA5,SNTA1,COG4,NDUFA10,DGUOK,ECH1,PARP4,TRPV5,,CNTNAP1,MRPL37,MPHOSPH6,,PTK7,PMS2,DDX55,,SUPT16H,CRACD,CNOT6L,POLD2,RPGRIP1L,DECR1,POLR2C,NAT10,LOXL2,SCD,,OARD1,MTAP,KRAS,KAT2B
KPTN,BICDL1,TJP1,RAB35,TRIP11,E2F8,TCF20,PICK1,MEF2C,CRYM,RNF215,CTDSPL2,,RGCC,XIAP,HCRTR1,CCR2,,CCDC70,AMMECR1L,,NCOA7,CARD10,,CHMP4B,,PPP4R3A,TTI1,SMPD3,ARPC1B,RTKN,SARS2,CLN5,IDUA,,EZH1,STXBP3,CHST5,,CUL9,HERPUD2,CAND1,,TOX4,NFKB1,PAPSS1,YKT6,MAZ,NIPAL2,CYB5B,AVIL,IRAK2,ABLIM1,,MEA1,GADD45B,IPO8,PDCD10
B4GALT6,DTX1,BMF,SRSF9,NFKBIA,PHF20L1,RSPH14,SEPTIN3,UBA5,EEF2K,SPECC1L,KNL1,,DGKH,PLP2,TMEM39B,ANXA11,,NCKAP1L,TMEFF2,,SASH1,GRK3,,CST3,,C14orf93,E2F1,WDR59,FCHO1,SLC35F5,CLASRP,ELMO3,SLC35E1,,COL1A1,PHF13,FHOD1,,TTK,SMU1,RAB5B,,GEMIN2,UBE2D3,PPP3CA,CLIP2,TMC5,IKBKB,NME3,TROAP,BHLHE40,ERMP1,,CPNE5,CRKL,DUSP26,GNAI2
SGIP1,TRAFD1,DMXL2,SMIM8,REC8,SIGLEC9,RTCB,JOSD1,STK17B,CAPN15,GGT1,DUOX1,,INTS6,PLS3,RPL21,NAA60,,CDK2,FAM171B,,FBXO5,GGA1,,WFDC2,,YY1,CHMP4B,MON1B,MAP1S,ACTR3,PPP1R37,NUTF2,RNF6,,SGCA,EDEM3,CAPN9,,BTN2A1,GLIPR2,MDM1,,TGM1,INPP4B,MAPK8IP3,EIF4H,CCP110,PLAT,SMPD3,KRT7,PRPF38B,NRP1,,RIOK1,CECR2,MEN1,CYB561D2
SGK1,CCDC146,DNAJC17,RNGTT,GMPR2,NGDN,FBXO7,FBXO7,JMJD4,EARS2,CYTH4,BCAR3,,ELMO3,NAA10,GTF3A,ODF2L,,ATG101,ACKR3,,MAPK14,LGALS1,,AHCY,,ACIN1,AHCY,NPRL3,ATG4D,TP53I3,PPP1R13L,NFAT5,HIP1,,PTGES3L-AARSD1,WDR77,LAMC1,,ENPP5,CNTFR,KRR1,,TYRO3,WFS1,B4GALNT3,LIMK1,SLC6A2,RAB2A,MON1B,CCDC142,CD101,PRTFDC1,,PHAF1,SUSD2,CTIF,CBLB
MED28,TES,SPG11,SASH1,RABGGTA,AJUBA,POLDIP3,SUN2,AACS,GGA2,CARD10,TTLL7,,NUTF2,FMR1,UBL3,TRMT13,,SARDH,FANCD2,,STK38,SRRD,,ACOT8,,TRIP11,PPP1R16B,MLYCD,CLIP1,ACVR1,DOT1L,LONP2,ZFP36,,MRPL27,S100PBP,TTLL4,,MAN2A1,RNF11,GAPDH,,SNAP23,FRG1,ETV6,FSD1L,RNF40,SNX16,NPRL3,CHST5,YWHAQ,PALMD,,TM9SF2,RNF215,IRAK2,GBE1
SLC16A7,SYNCRIP,ZFAND1,UST,PCIF1,PARP2,CYB5R3,LMF2,PCDHB4,HMOX2,GRK3,ADCY3,,NUP93,EMD,FYTTD1,PMS2,,HJURP,RETREG2,,BACH2,PATZ1,,VAPA,,DCAF11,ACOT8,CRISPLD2,DNMT1,PSMD14,PLEKHJ1,ARL2BP,SDF2L1,,ABCC3,ASH1L,HTR2B,,HMGCS1,ITPR2,GNPTAB,,MYL6,GALNT7,ETFBKMT,MEGF9,LACTB,GFUS,MPG,PIGC,GRHL1,TSPAN15,,UPF3B,SPECC1L,KATNBL1,PLXNA1
PKD2,LCA5,RIPK2,MTRF1L,GSS,RNASE1,DNAL4,TTLL1,PCDHA6,RPGRIP1L,HPS4,PREPL,,NFAT5,TAFAZZIN,SASH3,HERPUD2,,RAB9B,ITGA9,,CCNC,GCAT,,LPIN2,,PSMA6,RBFA,ZNF500,HABP4,PDE1A,OAZ1,PLLP,GAL3ST1,,MPP2,ARHGEF2,TGFBRAP1,,BRD8,WDR83,ATN1,,RFFL,SOD3,ETNK1,TRIM14,CORO2B,ERI1,USP10,TTLL4,LPIN1,MACROH2A2,,SEPTIN6,SNRPD3,EMC7,NEK11
CCNI,MAP3K7,NBN,MRPL18,IFT52,ARHGEF6,LMF2,TOM1,PCDHGA2,BCKDK,SRRD,PLCE1,,ARL2BP,MAGT1,MRPS2,CBX3,,FAM199X,SHQ1,,SMAP1,ANKRD54,,SMCHD1,,EMC9,VAPA,NME4,ULBP3,IFIH1,TRMT1,CCL17,ATF4,,FAM20A,IVNS1ABP,NEK3,,KIF20A,NLN,ST8SIA1,,DPYSL2,MFSD10,KLRG1,CORO2A,IGDCC4,NEFM,CRISPLD2,HTR2B,DOCK2,OCEL1,,BMP4,MAPK1,PRPF38B,ACVR2B
RAB3GAP2,NAT10,DECR1,RBM24,MYBL2,ASH2L,RHBDD3,CHKB,HSPB11,NOMO1,EIF3L,RBP4,,CCL17,SMS,NAA60,HYCC1,,SLC36A1,LRIG1,,HECA,EIF3L,,MYL12A,,TM9SF1,LPIN2,CLCN7,HACL1,SPTBN1,PTOV1,CTCF,MPST,,DPH1,PLA2G4A,CKAP2,,MRPS27,NCKAP1L,RAB35,,COMT,LRP2BP,PIANP,OGN,RAB11A,ARHGEF10,ZNF500,DNAJB2,RERG,PSMD8,,MYH2,GRK3,VAV3,WDR48
HS1BP3,EHF,LAPTM4B,BAG2,NFATC2,CDKN1C,TTLL1,BIK,PHLPP1,TMC5,DEPDC5,ANXA7,,ACD,UBL4A,ODF2L,RECK,,B9D2,RABL3,,PHACTR2,MICALL1,,RNMT,,GMPR2,CEP76,ANTKMT,SLC6A6,HTRA2,SGTA,PARD6A,TST,,MAP2K6,PRAMEF12,LRCH1,,CERT1,SPATS2,SRSF9,,ECHDC1,FAM149A,LUM,LHX6,CD276,KLHDC4,NOMO3,CKAP2,STK26,SETD1A,,ARMC7,LGALS1,CHIA,ABHD14B
CYP20A1,PRRG4,NIPAL2,CCNC,STK4,PGAP6,RASL10A,ARSA,ATP8B1,RNF40,PICK1,BARD1,,PARD6A,CD99L2,TRMT13,CNTFR,,AGO2,MED12L,,FAM120B,CCDC134,,LAMA1,,PNN,CEP192,SLC7A5,KCNC3,LOXL3,SNAPC2,MMP15,APOL2,,WSB1,WLS,EDNRB,,PCDHB5,ATG101,BTN3A3,,HDAC6,UGDH,ASCL1,SUSD1,DTWD1,MCM4,CIAO3,EDNRB,SPOCD1,ATP5F1D,,NUP85,TRIOBP,SORT1,ARHGEF26
C1orf198,CD63,IKBKB,ALDH5A1,PFDN4,SAT1,AP1B1,TSPO,SMARCD3,CORO2B,KDELR3,STAT4,,PSMD7,EEA1,CCDC18,CISD1,,SNX21,ALDH1L1,,CUL9,CENPM,,RNF125,,RABGGTA,RBBP8,STUB1,KIF3A,GALNT3,VRK3,USB1,RAC2,,SLC9A3R1,PRDM2,IGF2BP3,,THG1L,KBTBD4,MAN1A1,,GABRP,CTSC,SUOX,PLGRKT,SPG11,ASAH1,STUB1,ZDHHC4,CDCA8,NDUFB7,,PSPN,GCAT,YWHAQ,DNAH1
DYNC2I2,GDF11,GDAP1,ACOT13,TPD52L2,NECTIN2,HMGXB4,RASD2,ME2,IGDCC4,TOMM22,ITPRID2,,HAS3,RP2,PMS2,ITPR2,,SLPI,NCEH1,,SENP6,TCF20,,RBBP8,,NFATC4,PSMD10,CRYM,MGAT1,TACR1,FAM32A,NME3,LIF,,TMEM33,BCAS2,TTYH3,,TTC1,AMD1,HINT3,,AAAS,TECTA,ANKRD52,NCS1,MYEF2,BNIP3L,NUBP1,BZW2,GNL2,MTAP,,TRIP10,ANKRD54,LPIN1,SSR3
NDUFA8,ITGA7,EMC2,RPS12,DNAJC5,LRCH2,CHKB,PDGFB,C5orf22,RAB11A,RTCB,ABI2,,TANGO6,PCYT1B,NPY,ACOT9,,PTGIS,LHFPL2,,ENPP5,HSCB,,ATG4A,,GINS1,ATG4A,EEF2K,ACLY,FANCL,ZNF419,PSMD7,EMC4,,DCUN1D4,EXOC8,ALPK3,,CDH6,RAB9B,UST,,CBX5,HSPA8,RHOF,MPDZ,DECR1,MAN2B1,UBE2I,DDX56,TUT4,POLR2E,,GPR108,EIF3L,ECHDC3,NKTR
MAPKAP1,MAP7,ESRP1,C6orf62,PRELID3B,MLLT1,BIK,ZMAT5,CCNT2,DTWD1,POLDIP3,SLC40A1,,SMPD3,FGD1,HYCC1,PRDX4,,RNF114,RASA1,,HARS2,FBXO7,,GPR143,,NINL,PGRMC1,EARS2,G6PC1,FN1,POP4,SLC38A7,STRIP2,,USP46,C1orf109,DCAF7,,NPR3,FAM199X,MAPK14,,FMO2,ATG2A,NOVA1,RIGI,UBE2W,GYS1,CLUAP1,NACAD,APLNR,IZUMO4,,DTD1,CCDC134,CDCA8,NEK4
KDSR,TEC,NDRG1,EYA4,MTG2,CRB3,RASD2,SYNGR1,EPB41L3,TJP1,CYB5R3,SEMA7A,,PLA2G15,PORCN,CNTFR,PKN1,,MTRR,GIN1,,DAP,GTPBP1,,ALG13,,ZMYND8,NXT2,CPPED1,DIAPH1,STAT1,CCNE1,TANGO6,ARHGAP22,,LAMTOR3,ACADM,GYPC,,FAM172A,BAZ2B,BACH2,,SUCO,EHD1,SLC12A6,EDF1,NIPAL2,ECH1,ELOB,ALPK3,C5AR2,PALM,,FLRT3,PICK1,DSC2,DGUOK
DCAF4,SEMA4F,ARMC1,ADGRG6,ARFGAP1,TUBGCP2,TTLL12,TAB1,COBLL1,BMF,DNAL4,RASGEF1B,,WDR59,SYTL4,CALD1,WDR83,,POF1B,FBXL17,,BRD8,PPP6R2,,PRPS2,,MYBL2,ALG13,HMOX2,ANO1,PAPOLG,PDCD5,PLA2G15,VPS13C,,TBC1D9,PRPF3,ATP6V1G1,,GNPDA1,B9D2,GPR63,,MSH2,CPT1A,DUOXA1,PIP5K1B,IKBKB,CLASRP,GGA2,CHAD,PDGFRA,MADCAM1,,NCLN,TCF20,DTNA,KANSL3
FCF1,MPHOSPH6,GFUS,CUTA,ARFRP1,PAK4,CBX7,TXN2,DLG3,DMXL2,LMF2,RAP1GDS1,,MON1B,ZDHHC15,NUDT10,ATF1,,TRERF1,FEM1C,,MRPS27,CYB5R3,,MOSPD1,,STK4,MOSPD1,SALL1,TMEM204,ELMOD3,ANKRD27,WDR59,SERGEF,,WFS1,P3H1,GABBR2,,PPP2CA,CHPF,FBXL4,,DHPS,CCND1,NTRK3,RAPGEF1,RAB2A,PIH1D1,CPPED1,TEX2,BIVM,ARVCF,,ARMCX5,RTCB,SLC43A3,LMAN2L
SLIRP,FHOD1,PYCR3,QKI,NDUFAF5,GMFG,PDGFB,FOXRED2,SERTAD4,DNAJC17,RHBDD3,LARP1B,,HCFC1R1,PBDC1,MED13L,PFDN5,,BTN2A2,CXCL14,,HAND1,LMF2,,AMMECR1,,DNAJC5,AMMECR1,XYLT1,WDR44,CCT4,FBL,CMC2,TPH1,,FRG1,AKR1A1,TRMO,,C5orf15,ENKD1,BVES,,ARCN1,ANAPC15,RUSF1,PTGDS,CCN4,ARHGEF18,HMOX2,DCAF7,MSI1,RANBP1,,UROD,GTPBP1,CBLIF,ACTR3
KLHL29,STX6,SQLE,PPP2R5D,SLC52A3,CLIP1,RBFOX2,EIF3D,TRAF5,SPG11,AP1B1,MMRN1,,CRISPLD2,BEX4,ACOT9,SPATS2,,SIRT5,RNF145,,PCDHB7,AP1B1,,XIAP,,TUBB1,WDR13,RPGRIP1L,TOP2A,GGCX,GPI,AXIN1,KIF1C,,GALNT7,TNFSF4,RABEPK,,SEC24A,RNF114,WASF1,,EPB41L4B,CEP164,FTO,SHB,NDRG1,PPP1R13L,QPRT,LIMD2,DTX1,ZDHHC8,,LRFN3,PPP6R2,APLNR,STEAP3
ATAD2B,NIBAN1,R3HCC1,TMEM30A,CDS2,DNMT1,SYNGR1,SGSM3,MRPL22,VPS18,HMGXB4,FRAS1,,TSC2,RUBCNL,WDR83,FAM199X,,NQO2,SLC17A4,,PDE8B,APOBEC3H,,ATP11C,,PTK6,XIAP,MAZ,PPP1R1B,COQ10B,AKT2,HCFC1R1,PUS7L,,DHX15,SLC35A3,DMAC1,,RARS1,FASTKD3,ACOT13,,TMEM38B,EIF4G2,UQCRC2,ZFAND5,SNX16,PLEKHJ1,XYLT1,RPS6KC1,ANKRD6,SMARCB1,,FRMD8,CYB5R3,C5AR2,PSMD14
YIPF4,DOCK10,ERICH1,GMDS,SEC23B,MTRFR,TAB1,PVALB,GEMIN5,MYEF2,HMOX1,CCNG2,,ZNF500,KLF5,NCKAP1L,TTC21B,,OARD1,PPP1R18,,PCDHB15,ARSA,,ABCD1,,C20orf27,ABCD1,BCKDK,CHD1L,ST3GAL5,PLD3,NPRL3,SIGLEC9,,NSD2,RCOR3,POLR1E,,MACROH2A1,NAGK,SMAP1,,PSMD5,BIRC2,KIFC3,PHYH,GSDMD,OAZ1,RPGRIP1L,SMPD4,SYNCRIP,P2RX6,,STAT5A,DNAL4,DZIP1,SNX17
AVPI1,TTLL4,MCM4,SLC29A1,FERMT1,UBE4B,MTMR3,UPK3A,OPRK1,SGK3,MCAT,CNOT6L,,ANTKMT,STK24,CDK2,PLA2G12A,,UNC5CL,MLIP,,THBS4,RASD2,,PLP2,,RNF24,ELF4,RNF40,FMO5,IL18R1,TBCB,MPG,AJUBA,,DDX25,NENF,IL11RA,,CEP70,TRERF1,TRIM38,,NUP188,ACCS,ADAMTS18,RAB11FIP2,GFUS,DMPK,MAZ,GYPC,EHF,SLC7A4,,WNK4,LMF2,BIVM,PPM1G
ARMH3,SLC19A3,MAN2B1,BTN2A1,TM9SF4,HABP4,SAMM50,FAM118A,NFE2L1,BRF2,MCM5,ANXA3,,SLC7A5,ARHGEF7,ATPAF1,PFKFB2,,RPS10,PM20D2,,GOLPH3,TTLL12,,NAA10,,ARFRP1,SMARCA1,CORO2B,LLGL1,FHL2,POLR2I,TSC2,MAP7D3,,CTSC,MTARC2,SIT1,,SLC25A36,ABCC10,ARFGEF3,,NANS,SCGB2A2,CDH11,DDX50,ERI1,YJU2B,BCKDK,YME1L1,PRRG4,DDT,,IFI6,PACSIN2,POGLUT2,PDE1A
MSX2,C2orf49,SARS2,NUDT12,POFUT1,ULBP3,EIF3D,KCTD17,GSK3B,DECR1,ARSA,CENPE,,FBXO31,PARP4,AMD1,CHPF,,KLHDC3,SCML4,,TARS1,RBFOX2,,ASB9,,CSNK2A1,SCML2,MTFMT,LGALS3,MLPH,SIGLEC8,ABCC1,RPS4Y1,,FNBP4,OSBPL9,GRHPR,,PDCD10,PEX6,HECA,,SEMA4G,AMBRA1,MAP1LC3B,MAPK8,GSR,PTOV1,NOMO1,SMC2,AVIL,SUSD2,,ELK1,AP1B1,ADAMTS8,IFIH1
CAAP1,ARHGEF4,RELB,NME5,SAMHD1,EPS8L1,FAM118A,ST13,ITGB5,NIPAL2,RASD2,HADH,,NUBP1,SUPT20H,NDUFAF4,FAM124B,,MEA1,SLC2A12,,SLC12A7,TAB1,,SCML2,,SIRPB1,SLC35A2,CD276,HSD17B7,CNPPD1,NOP53,HAGHL,KLF16,,TECTA,ESYT2,PIM1,,USP4,NQO2,PHACTR2,,BLNK,MADD,C18orf21,NSMCE4A,PPP2CB,SGTA,IL21R,TMOD1,KRT7,SF3A1,,HSPA2,HMGXB4,WDR36,SPTBN1
NUP43,NEK3,PPP1R13L,BRD8,KIF3B,TRAF3,KCTD17,EP300,XPO1,STK3,PDGFB,PPP3CA,,CRYM,MRPS31,FAM199X,TTPAL,,SOX4,PNLDC1,,CSNK1A1,SAMM50,,SMS,,SEC23B,MAGT1,EHD4,SCLY,ABCB6,ETFB,ANTKMT,SH3BP4,,SC5D,POLR1G,GMPR,,GNAI2,UNC5CL,CUTA,,SORBS1,CARS1,TP53,PLEKHA1,TUSC3,SNAPC2,CCP110,SLC31A1,AFG1L,RNF215,,ZBTB1,BIK,CTSL,HTRA2
MTHFD1L,LMO7,PEX11G,NNT,NOP56,ACLY,ST13,CHADL,RNF13,ESRP1,RPL3,MAPK8IP3,,EEF2K,RGCC,PLA2G12A,CSE1L,,SSR1,NOM1,,ARL6,TXN2,,UBL4A,,FERMT1,RP2,TMEM87A,PTPRE,HDLBP,BABAM1,FBXO31,LDLR,,HSPA8,IFT46,TMEM63B,,SLC41A3,CDKN1A,TBP,,CRTAC1,SOX6,CBX8,PALD1,ARHGEF10,TIMM44,RNF40,ALDOB,MICAL1,PPIL2,,PLEKHG3,MCAT,FBXO21,FANCL
PCMT1,IGF2BP3,PLEKHJ1,MRPS27,JAG1,DIAPH1,CHADL,RANGAP1,PALB2,CCN4,RBFOX2,B4GALNT3,,CAPN15,VWA8,B9D2,PTGIS,,RIOK1,TMEM47,,SLC25A36,FOXRED2,,CD99L2,,PLCB4,USP11,ZNF106,SEC61G,ODC1,CDC37,STUB1,PRKCSH,,SIAE,NRP2,TUBB2A,,PLXNA1,SOX4,PPP2R5D,,MYO3A,C11orf58,CBX4,LZTS2,MCM4,PPP6R1,KNOP1,FPGS,STX11,PES1,,AIF1L,ARSA,BICDL1,PAPOLG
WDR55,NACAD,KLC3,PFDN1,TTI1,ACAP3,RANGAP1,ACO2,DOP1A,NDRG1,SYNGR1,KIF21A,,ZNF174,DGKH,FAM124B,CDH26,,SCGB2A1,KDM6A,,KAT2B,KIAA0930,,RP2,,POFUT1,KLHL4,ATP8B4,LANCL2,DARS1,NAPA,NUBP1,SNX9,,DTX4,UBE3D,BPHL,,ATP6V1A,RREB1,DNPH1,,WAC,AIP,ERBB2,SFXN3,ASAH1,AKAP8,LACTB,GARNL3,PRADC1,PPM1F,,TIMM8A,TSPO,DTX1,ELMOD3
PCDHB10,TTYH3,OAZ1,CDH9,E2F1,PPFIA1,POLR3H,POLR3H,BCKDHB,SNX16,TAB1,ALG10,,CLUAP1,INTS6,SEMG2,MOCS3,,GOT2,NSDHL,,PDCD10,FAM118A,,USP11,,KIF3B,FGD1,DTWD1,ANKRD17,ORC2,GRWD1,UBE2I,QRSL1,,ATG2A,PHF3,TUBB2B,,KLHL18,RIOK1,SENP6,,CREM,PPFIBP1,MIEN1,NPM3,BNIP3L,POP4,CORO2B,TSTD2,CCDC142,SLC35E4,,FGD3,TTLL12,TRAFD1,EFHD1
CENPL,CIDEB,TBC1D17,TMCO6,CHMP4B,TRAF7,PMM1,PMM1,ULK2,GFUS,ASCC2,KLRG1,,QPRT,DHRS12,GTSF1L,RNF114,,IRF1,HMBOX1,,ACAP2,RANGAP1,,HTATSF1,,IDH3B,RBM3,BMF,CLEC10A,ATF2,LIG1,EEF2K,ACTN4,,DCPS,TNFAIP3,UQCC2,,SCAP,DEK,TTK,,BRPF3,COQ5,CACNA1A,ACBD5,MAN2B1,CCNE1,TRIP4,ANP32B,GNS,ESS2,,TRAF2,CBX7,LCA5,CCT4
ACAT2,ALPK3,YJU2B,FAF2,CST3,TOP2A,DESI1,BRD1,GRHL2,SQLE,MTMR3,NABP2,,XYLT1,TRADD,PTGIS,NEURL2,,PAX8,GNRH1,,GNAI2,POLR3H,,KLHL4,,JAG1,SYTL4,DMXL2,XAF1,THADA,PLA2G4C,CAPN15,FCHO1,,CPT1A,RAB32,ATAT1,,NEK11,UPF3B,ENPP5,,MRPS18A,KCTD10,MVB12A,MAP3K8,GYS1,URI1,IGDCC4,DMAC1,CHST5,CARD10,,BEST3,RPL3,LMO2,COQ10B
TCP1,CIB2,PTOV1,PCDHB7,ACTR5,PEX11B,BRD1,KCNK10,TNPO1,INTS10,FOXRED2,NOVA1,,PYCARD,MAPK3,NEURL2,MTRR,,CLPP,ADHFE1,,TFG,PMM1,,FGD1,,TTI1,PBDC1,SPG11,FLOT2,PCYOX1,HAS1,ZNF174,JUND,,CCDC86,MYB,TTC29,,PLSCR4,ARMC7,ERBIN,,EFHC1,SLC11A2,DPP9,XPNPEP1,RELB,PDCD5,CTSH,UBAP2,LAMC1,GGA1,,RAB3IP,ZMAT5,PHF21A,ST3GAL5
KCNJ5,CALCOCO2,SGTA,PCDHB15,PIGU,LIN28A,ZBED4,ABHD4,PLOD1,GSR,GRAP2,PTGR2,,MAZ,NUTF2,PEPD,FASTKD3,,ATG4C,MAL2,,IFT57,BRD1,,PIN4,,E2F1,BEX4,VPS18,MTSS2,KISS1R,BCAT2,EARS2,TRPM4,,TRIM3,RNF146,SULF1,,PEX5L,NUP85,BRD8,,IFT74,METAP2,IFNAR1,TFAM,PPP1R37,TIMM50,TTC23,GRHPR,HTR2B,LGALS1,,TRPV5,SYNGR1,CDK4,FHL2
ENY2,CFC1,SNAPC2,THG1L,ZNF516,GCH1,KHNYN,KHNYN,PIBF1,ARHGEF10,EIF3D,CLBA1,,CDIPT,NFAT5,NAGK,PEPD,,GPR108,TATDN1,,GNB4,ZBED4,,SYTL4,,RPRD1B,FNDC3A,MYEF2,PCNA,EPHA4,MIER2,AQP8,CRB3,,CHORDC1,TCF21,SDCBP,,RRP9,NT5C,CERT1,,ACOT7,FOXM1,SOD1,TBC1D12,PIH1D1,FBL,CD276,ZSCAN9,TGFBRAP1,TRIOBP,,FBXL12,TAB1,MICAL1,UXS1
