adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,sole of foot,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
CALM2,MAP3K4,NFKB2,RIN3,PSMA3,RFX3,,DIDO1,SLC1A3,MKNK1,SF3A1,,ERLEC1,,PTPN18,,SAMM50,ARFRP1,EFNB1,PPIL2,,C5orf22,ACAT1,,GRB10,PRMT5,,SMC1A,,GYS2,IPO11,SOS2,RFX3,NOP53,NR3C1,ESF1,KIAA0586,,TP63,CLCN7,PICALM,,CST4,PGRMC1,SUMO1,,MAVS,ATXN7L3,ADGRL1,CNN1,PASK,WDR11,,MTPN,PALB2,XPO1,,FGFR2,,MFSD11,ATP8B1,SF3B2,POLD2
CIAO1,ABCB1,DYNC1I2,SNW1,TIMM9,DNAAF6,,EEF1A2,XRCC5,CIC,PPIL2,,PPP2R5B,,RHOBTB1,,TNRC6B,RASSF2,GLG1,PRODH,,CCNT2,ZNF638,,HSPB1,SOS2,,MARK2,,LDHB,SEPHS1,CNIH1,SMARCA2,TYK2,PPWD1,ANAPC5,ALKBH1,,LLGL2,CRYM,GLI2,,PPP1R16B,PRPS2,EDEM3,,XRN2,PSMC5,ACTN1,TRIM28,MSH6,WDR55,,ZC3HAV1,BCKDHB,PALB2,,ZFAT,,GPATCH2,ME2,KHSRP,PRUNE2
IQSEC1,ZNF213,APBB1IP,DHRS7,KIAA0586,CNOT4,,ARFRP1,MKNK1,DDX1,MAPK1,,VPS35,,MARK2,,FAM118A,CDS2,FH,CYTH4,,EPB41L3,MARK3,,RBM28,PSMC6,,P4HA2,,CMAS,RBM22,SNW1,CNOT4,LIG1,DPYSL3,SLC8B1,SNW1,,PICALM,CAPN15,MRPS34,,CSTF2,PLS3,SFPQ,,ESF1,OGFOD1,PTPN18,SYNE1,SPR,KDM3B,,OGDH,TNPO1,BCKDHB,,STAG3,,AAAS,C5orf22,REM1,TBC1D13
AGTR1,AKR1B1,SIRT6,PPM1A,SNW1,PSEN1,,SAMHD1,SCGN,RIMS1,PRODH,,BCL3,,ACADVL,,ACO2,TM9SF4,CDV3,HIRA,,GEMIN5,FOSL2,,PLOD3,CNIH1,,XRCC1,,RAB35,ZW10,EIF5,HSP90AA1,PLPPR2,SMC4,TMEM230,CHGA,,GLI2,CLUAP1,TSG101,,ATG4A,RBBP7,MEF2D,,TMEM230,TXNDC16,RHOBTB1,LATS1,PARK7,NFYB,,LMBR1,PLOD1,TNPO1,,PFKP,,MAP3K1,CCNT2,EPB41L1,KANK1
TCTA,RRN3,POLD3,HIF1A,ERH,OSTM1,,IDH3B,DDX1,KEAP1,ESS2,,GAL,,IRAG1,,FKBP3,SAMHD1,ALKBH5,SH3BP1,,XPO1,ACTB,,RPA3,VTI1B,,SDHA,,FRK,ALG9,TCL1A,PCNP,PRPF31,TIMMDC1,OAS1,DHRS7,,MRPS34,ELOB,NCBP3,,NKAP,FMR1,PRAMEF12,,OAS1,RTRAF,SMC1A,GGT7,SFPQ,TNFRSF10B,,IQCE,DIS3,PLOD1,,DHX29,,ARCN1,MRPL22,ANKRD10,EXOSC3
SSBP2,B4GALT1,CAPZB,EIF5,EIF5,PCNP,,ACTR5,KEAP1,SMARCA2,CARD10,,CLEC2D,,LLGL2,,AP4S1,RPRD1B,ZFHX4,PATZ1,,PALB2,PLD1,,CHCHD3,KIAA0586,,SMARCE1,,RWDD1,FTL,C14orf93,AACS,TFPT,CRBN,GCN1,ERH,,TSG101,USP31,ATP2A3,,XIAP,SLC35A2,AMPD1,,PXN,SF3B2,MARK2,ZNF428,NR5A2,TARDBP,,CPVL,PIBF1,DIS3,,TP53BP1,,TMEM38B,GEMIN5,COQ9,DVL1
GFOD1,NFX1,ARAF,VRK1,ZFYVE21,EXD2,,PPP1R16B,SLC35C2,PUM3,GRK3,,MAOB,,NLE1,,VTI1B,WFDC2,PPP2R3C,MICALL1,,TNPO1,DLG1,,TMEM176B,SAMD15,,PPP2R3A,,PAK1IP1,SRRT,TRIP11,DELE1,DDX49,NPHP3,RPLP0,EIF5,,NCBP3,DNAJA3,CA12,,RBBP7,PQBP1,SRSF11,,ERP29,SULT2B1,P4HA2,ABCB7,MRPS15,COPS5,,CHN2,TDRD3,PIBF1,,RRP15,,PSMD5,NFE2L1,PPP1R13B,TRDMT1
FAM193B,DIMT1,MCCC1,C14orf93,BDKRB1,AACS,,MAP1LC3A,RAB21,CNOT4,HIRA,,RORA,,SDHA,,GSTZ1,PPP1R16B,HNRNPC,TOMM22,,PIBF1,RAB7A,,TMEM248,DAAM1,,ST6GAL1,,RNGTT,BAX,PABPN1,HSPB11,SUGP1,TFDP2,KIF16B,BDKRB1,,BCS1L,SALL1,BCS1L,,SLC35A2,HTATSF1,PLEKHM2,,FUS,KHSRP,ACADVL,PSME3,RRAGC,FAM117A,,GRB10,PDS5B,PDS5B,,IARS2,,NANS,XPO1,MAVS,MAPK8
SHPRH,EPDR1,FAP,TRIP11,RPS6KA5,DELE1,,ADNP2,SMARCA2,PSEN1,PATZ1,,RAB27A,,SMARCE1,,DAAM1,APMAP,PHGDH,GTPBP1,,PDS5B,SART3,,MYL7,SNW1,,FRY,,KCTD20,PIGS,PRORP,ME2,SIPA1L3,RPL24,CHGB,PPP4R3A,,LMAN1,RBL2,DPP8,,PQBP1,MAGED2,NT5C1A,,FXYD5,DOCK9,FBXW11,AOC3,MTR,TSHZ3,,COBL,OXCT1,OXCT1,,IDH3G,,TBC1D2,RNF13,LZTS3,NPM3
NDUFB9,SEPHS1,PIK3C3,RABGGTA,PPP4R3A,HSPB11,,CEP76,CNOT4,OSTM1,MICALL1,,HDHD5,,GSDMB,,RIN3,MIB1,EZR,RHBDD3,,ZNF586,RBMS2,,LHX6,ERH,,PICALM,,SRSF3,ATXN7L3,TM9SF1,C5orf22,GTPBP10,FXR1,ERP29,TRIP11,,HACD3,AAGAB,LMAN1,,MAGT1,SRPX2,MTR,,GANAB,TMEM40,IRAG1,ILKAP,SSX2IP,PSPC1,,CASP2,ZNF446,ZNF446,,TFE3,,CWF19L1,PALB2,XRN2,ACBD5
GTF3C5,RBM22,TULP3,MMP9,C14orf93,ME2,,ANKRD12,OSTM1,MEF2C,POLR2F,,UFD1,,FERMT2,,SNW1,RIOK3,MFSD11,TTLL1,,YTHDC1,PTPN23,,PTGR1,PPP4R3A,,GLI2,,ALDH5A1,SH3BP2,CD40,CCNT2,CAV2,PEX5L,FUS,PABPN1,,MYDGF,CD276,ARHGEF10L,,HTATSF1,GLA,RBBP5,,MLF2,NSFL1C,XRCC1,CARD6,GBP3,PDZRN3,,WASL,RPS5,FAT1,,INPP5A,,HIVEP1,TNPO1,ESF1,LARP4B
TAF5,TMED2,SYNJ2,TRPC4AP,TRIP11,CCNT2,,TBL1X,CDH7,DELE1,TOMM22,,NUCB2,,PTGS2,,DHRS7,PGRMC1,GPATCH2,ZMAT5,,NOA1,MLH1,,TBC1D13,C14orf93,,MRPS34,,ACOT13,TXNDC16,NFATC2,GEMIN5,CAV1,NCL,FXYD5,DCAF11,,SRI,HOMER2,SRI,,ZDHHC15,DHODH,ID3,,RCOR1,MAVS,LLGL2,H3-3B,APH1A,CRY2,,C1GALT1,YTHDC1,YTHDC1,,GPKOW,,FKBP5,PIBF1,ANAPC5,UBTF
MTA2,ZW10,SDF4,NFATC2,APEX1,MRPL22,,RBBP7,PCNP,ME2,SUN2,,SLC44A1,,IGF2BP2,,ERH,ALG13,NUP50,ASCC2,,REST,UNG,,KANK1,ACIN1,,CDHR2,,SLC39A7,SF3B2,STK4,XPO1,HOXA6,PCGF1,MLF2,GMPR2,,ZNF638,TMEM87A,TTC38,,LONP2,SLC7A6OS,PRPF3,,PAPOLA,XRN2,NLE1,PCED1A,PRDX6,ZCCHC17,,RPA3,ZMPSTE24,NOA1,,GRIPAP1,,CDC5L,TDRD3,TMEM230,RNF43
CPSF7,ALG9,CDH17,ADNP,SRP54,GEMIN5,,PQBP1,DELE1,CCNT2,RHBDD3,,SMG6,,PICALM,,C14orf93,RBBP7,COMT,SAMM50,,GSTP1,FMO4,,DVL1,SRP54,,TSG101,,MRPL2,COQ9,ADNP,PALB2,TAX1BP1,SPTBN1,RCOR1,RABGGTA,,ZNF37A,ATP8B4,ACAT1,,DHODH,AXIN1,SYF2,,MAEA,MAPKAPK5,SDHA,BTBD3,SYF2,KHDRBS1,,GLCCI1,APLP2,APLP2,,REEP1,,MACROH2A2,PDS5B,OAS1,DDX5
VPS51,SRRT,XRCC5,PFDN4,DCAF11,XPO1,,PCSK1N,ATP8B1,COBLL1,TNRC6B,,EXOC5,,GLI2,,TRIP11,SLC35A2,SUCO,TXN2,,APLP2,KLHL20,,RAB11FIP2,PCIF1,,NCBP3,,VEGFA,PPP1R13B,PFDN4,TNPO1,HSPB1,UNC50,BLVRB,UQCC1,,FOSL2,GABPB1,ZNF638,,CTCF,WFDC1,SLC35A3,,ZNF268,ESF1,SMARCE1,ARHGEF11,PPP1R8,ZSCAN20,,PHF14,EIF3I,EIF3I,,POLR1A,,MZF1,OXCT1,GCN1,ALOX12
DCP1B,BAX,LXN,CSTF1,PSMA6,PALB2,,HTATSF1,ME2,DLG3,RANGAP1,,JMJD6,,CLASP1,,APEX1,PQBP1,ARCN1,EP300,,EIF3I,TPD52,,TRDMT1,ADNP,,CA12,,PRPF4B,SIGLEC1,CTSZ,DIS3,EIF3B,ELMOD3,PAPOLA,CSTF1,,ACTB,BLOC1S6,ZNF37A,,ACD,USP10,RPA2,,GLG1,ANAPC5,GSDMB,DPH2,STAG1,OCRL,,CHCHD3,TXLNA,TXLNA,,LAPTM4A,,MYO9B,ZNF586,PXN,LUC7L3
THYN1,ATXN7L3,MKNK1,TPD52L2,EMC9,TNPO1,,PIN4,CCNT2,GEMIN5,PHF5A,,ST6GALNAC1,,MRPS34,,PABPN1,MAGT1,NANS,RANGAP1,,TXLNA,TRAF4,,CCSER2,PRELID3B,,HACD3,,MAN2A1,MAVS,PSMA7,PIBF1,CHCHD3,FHL2,YPEL3,CTSZ,,DLG1,MYEF2,MARK3,,MMP15,NME4,PPP1R8,,OSBPL8,TMEM230,FERMT2,PATJ,STK11,SERAC1,,GLI3,HADHA,NCOA1,,SRBD1,,HNRNPM,RPS5,KIF16B,EFTUD2
WWC2,PSMC5,CDC14A,PSMA7,PNN,DIS3,,SRPX2,EPB41L3,GSK3B,ACO2,,FRMPD1,,CDHR2,,PRORP,HTATSF1,SMIM24,PHF5A,,NCOA1,GPC4,,MTPAP,MTG2,,SLC12A1,,GHR,XRN2,DIDO1,TDRD3,TMEM176B,RAB3GAP1,DNAJB11,PRELID3B,,RAB7A,ZDHHC2,FOSL2,,PSMD7,CAPN15,CAMSAP2,,DTX2,PXN,PTGS2,DSTYK,NRP2,SHLD2,,BLVRA,ATRX,HADHA,,PSME4,,MARCHF2,YTHDC1,FUS,SUPT6H
ACSL1,SH3BP2,CEACAM1,DIDO1,UQCC1,PDS5B,,SUPT20H,DLG3,RNF13,ZBED4,,GBA2,,TSG101,,DCAF11,MAGED2,FKBP5,ACO2,,MAPRE3,RAP1GAP,,PITRM1,DIDO1,,ARHGEF10L,,HMGCS1,ANAPC5,CDC25B,OXCT1,PRKAG2,PLCL1,P3H2,DIDO1,,BCAP29,TRIM35,FRYL,,SETD6,GSPT1,CREB1,,ALKBH5,KIF16B,FRY,RNF128,CREB1,HNRNPA2B1,,PRKAG2,AK6,ATRX,,IFT80,,MTAP,SMAP2,FXYD5,ZNF330
PTPN14,TXNDC16,SCGN,RASSF2,ADNP,OXCT1,,MRPS31,GEMIN5,PALB2,AP4S1,,CHAT,,NCBP3,,PSMA6,VWA8,SRPK1,ZBED4,,CAD,TOP2B,,UBTF,EEF1A2,,TTC38,,HSPA9,OAS1,RASSF2,ZNF586,POLD2,SOS1,GNPTG,ARFRP1,,SART3,ZFAND1,ACTB,,ESRP2,USP31,SPCS2,,NLRP1,TRMT6,PICALM,MYH11,SLC16A7,RECK,,LHX6,MYNN,AK6,,SIRT2,,POLRMT,NOA1,GANAB,GAR1
XRCC4,RTRAF,CARMIL1,CSNK2A1,TPD52L2,ZNF586,,CLN5,GSK3B,KAT6A,PSMC6,,TESK2,,ATP2A3,,EMC9,NUTF2,TMEM14A,HDAC10,,CD59,TM9SF3,,PSMD3,ARFRP1,,ACAT1,,TMCO6,PXN,SAMHD1,YTHDC1,PRUNE2,KISS1R,PABPC4,RASSF2,,MCM6,BPNT2,PLD1,,HCFC1R1,DNAJA3,USP35,,ZFHX4,ERP29,GLI2,CEP20,UCHL3,KIAA1549,,TBC1D13,MECOM,MYNN,,PAGE1,,MKNK2,REST,RBM41,FBXW7
RASSF3,SF3B2,DDX1,SAMHD1,CTSZ,ZNF446,,MAPK3,KAT6A,TNPO1,VTI1B,,CFAP20,,BCS1L,,TM9SF1,LONP2,EFHC1,AP4S1,,ATRX,GTF3C1,,RNF43,CSNK2A1,,ZNF638,,RNF130,ERP29,IDH3B,PPIE,KANK1,MSH6,GLG1,FERMT1,,RBM7,RAB2A,DLG1,,NOMO3,RBL2,UBE3D,,ZC3HC1,FUS,CLASP1,KRBA1,C1orf198,ECD,,RIC1,WDR47,MECOM,,MAST4,,TRMT2A,APLP2,RCOR1,SH3D19
CFDP1,AAMDC,DNM2,E2F1,PRELID3B,YTHDC1,,NUP93,TNPO1,TDRD3,SAMD15,,EIF2B3,,DPP8,,GINS1,DHODH,HSP90AB1,SNW1,,AK6,USP33,,RPS6KB1,CDS2,,FOSL2,,LMNB1,FUS,E2F1,NOA1,FUBP3,CACYBP,DLD,IDH3B,,PTPN23,NDRG1,RAB7A,,SLC7A5,AAGAB,STBD1,,CMA1,FXYD5,MRPS34,RNF122,RAD23B,VPS26A,,DOCK8,MAP3K4,MAP3K4,,NUCKS1,,MED15,WBP11,SLC9A1,UFSP2
ABCA5,ALG6,EPB41L2,RPRD1B,PSMA7,PPIE,,LONP2,TDRD3,PDS5B,ALKBH1,,RAD18,,LMAN1,,ADNP,CTCF,CDC5L,ERH,,MECOM,DYNC1I2,,SLC25A11,PAK5,,FSCN1,,SUB1,MLF2,RPRD1B,REST,EXOSC3,SFPQ,CDV3,E2F1,,MLH1,ZC2HC1A,SART3,,STUB1,TRIP4,FKBP15,,HNRNPC,FXYD3,TSG101,CDK7,FKBP15,RASSF8,,EXOSC3,RRN3,CPNE3,,VPS35,,CECR2,EIF3I,PAPOLA,KLF3
C21orf91,KHSRP,STX7,APMAP,DIDO1,NOA1,,PSMD7,PDS5B,OXCT1,SNW1,,RPL31,,HACD3,,TPD52L2,PARD6A,SCD,DICER1,,WDR47,LRCH4,,DRG2,MANBAL,,DLG1,,PDE4D,RCOR1,ACOT8,GSTP1,RASSF4,LAMTOR2,ALKBH5,PXMP4,,UNG,GSDMD,MCM6,,CAPN15,HOMER2,KDSR,,SUPT16H,GANAB,NCBP3,MEIS2,RAB14,WWP1,,DVL1,CTTN,RRN3,,DNAJA2,,SMARCB1,TXLNA,GNPTG,KLHL5
PPP4R1,TPX2,SLC35C2,SMCHD1,CSNK2A1,REST,,NECAB2,OXCT1,RPS5,ERH,,WDR1,,ARHGEF10L,,CTSZ,CYB5B,WASHC2A,PPP4R3A,,OVGP1,SIRT6,,LGALS3BP,IDH3B,,RAB7A,,NR3C1,SPTLC1,APMAP,APLP2,TRDMT1,MEF2D,ORC6,ACOT8,,FMO4,DCTN6,REXO2,,GSPT1,GABPB1,EIF2B2,,SEMA6A,MLF2,ATP2A3,LAMTOR5,KDSR,PRDX4,,PDLIM1,USP40,CTTN,,MAOB,,TBC1D10A,CAD,EFNB1,DCPS
EME1,DOCK9,CNOT4,ANKRD12,IDH3B,GSTP1,,USP10,RPS5,FAT1,EIF5,,MS4A12,,TTC38,,PRELID3B,NME3,HNRNPM,C14orf93,,SLC25A24,POLD3,,LUC7L3,E2F1,,SART3,,BNIP1,ICAM1,CEP76,WBP11,NPM3,SRSF11,ZFHX4,ZNF516,,MBNL3,ASAH1,RBM7,,ELOB,BMF,DNMT3A,,PHGDH,RCOR1,MGLL,FBH1,ZBTB45,ATG101,,CDH23,B4GALT1,USP40,,RORA,,SF3A1,ATRX,EXOC1,PRPF19
ZNF18,C3orf18,TCF7,MIB1,TTI1,APLP2,,NOMO3,FAT1,YTHDC1,DICER1,,LMCD1,,ACAT1,,PSMA7,ESRP2,MARCHF2,SRP54,,MAP3K4,CAPZB,,EFTUD2,PPP1R16B,,REXO2,,EHHADH,IRAK3,ANKRD12,EIF3I,RPL28,NR5A2,CPA1,CEP76,,RARB,BNIP3L,RBMS2,,RBL2,EIF3J,YPEL5,,EZR,BLVRB,BCS1L,RBM17,SUPT7L,TUBA1B,,MICU1,NFX1,RAD54L,,TGFBR3,,PPIL2,AK6,DLD,RNF141
ZFYVE27,COQ9,PCNP,ATG4A,RPRD1B,WBP11,,CIAO3,YTHDC1,PPIE,PPP4R3A,,ATP6AP1,,ZNF638,,DIDO1,USP10,MTAP,PRORP,,RRN3,SLC25A43,,DPH1,MAP1LC3A,,RBMS2,,CRBN,LYZ,RIOK3,TXLNA,UBTF,WARS2,CD200,RNMT,,TOP2B,MAN2B1,MLH1,,MAZ,BLOC1S6,LGALSL,,MFSD11,PAPOLA,DPP8,TUT4,DNMT3A,CKS2,,LIPA,MRPL28,DNAJA1,,GNB5,,YPEL1,MYNN,CMTM6,AIP
GRAMD2B,TMEM40,EXD2,TBL1X,PPP1R16B,TXLNA,,CLCN7,PPIE,ZMPSTE24,C14orf93,,DAZAP1,,MARK3,,GID8,CIAO3,POLRMT,DCAF11,,CTTN,FGFR1,,MYH1,APMAP,,MLH1,,HGD,DNAJB11,ATG4A,NCOA1,TRIM37,ZP4,PPP2R3C,POLI,,TM9SF3,NUCB1,UNG,,NOMO1,MYEF2,IDE,,DPYSL2,TFAP4,LMAN1,DTNA,AFTPH,SRSF6,,UBTF,RBM22,B4GALT1,,HDHD5,,SNRPD3,MECOM,ALKBH5,GTF2H1
KAT6B,KIF9,MEF2C,POLA1,APMAP,NCOA1,,ANTKMT,ZMPSTE24,WBP11,TRIP11,,MBD3,,FOSL2,,ARFRP1,CLCN7,MKNK2,RABGGTA,,ATG16L1,MCCC1,,USP46,ADNP2,,UNG,,NIT2,GNPTG,POLA1,AGBL5,DRG2,RPF1,HAUS4,TBL1X,,NFKB2,GYS1,FMO4,,RPAP1,TRIM35,CUTC,,NUP50,PDPR,ARHGEF10L,EPHA7,CNNM1,SNAI1,,RNF43,TMED2,NFX1,,EXOC5,,MAPK1,SLC25A24,SPAG7,CORO1C
NSMCE2,PPP1R13B,PTPRC,NKAP,METTL4,MAPRE3,,CRYM,APLP2,EIF3I,PABPN1,,FAM50A,,ACTB,,RASSF2,STUB1,ARVCF,ADNP,,RAD54L,FAP,,ZNF330,CEP76,,FMO4,,PCCB,ZNF268,STAG2,MAPRE3,ALDH3A1,ID3,SCFD1,NKAP,,GTF3C1,ECH1,KLHL20,,ATP8B4,ZFAND1,MTHFD1L,,CDC45,GLG1,TTC38,ATP5MC2,WDR11,F13A1,,PFN1,ERO1B,SEPHS1,,CLTCL1,,ESS2,MAP3K4,ZFHX4,RSRC2
EIF4A2,MAVS,DELE1,TLR8,ANKRD12,CD59,,ZNF174,WBP11,NCOA1,EMC9,,CYBRD1,,PLD1,,HM13,CAPN15,TRMT2A,PRPF6,,DNAJA1,PIK3C3,,RPL34,ANKRD12,,SPAG5,,UBE3A,FH,PLS3,CD59,DDX5,PRDX6,HNRNPC,RBBP7,,SIRT6,HNRNPL,TPD52,,GABPB1,CA2,WDR55,,HDAC6,PLEKHG2,ACAT1,HNRNPA1,WDR55,SNRPC,,RAI1,ALG9,RBM22,,JMJD6,,CARD10,PILRA,PPP2R3C,MAGOHB
ODR4,XRN2,ME2,NAA10,TBL1X,ATRX,,USP31,EIF3I,AGBL5,TM9SF1,,PDCD2,,DLG1,,TM9SF4,GSPT1,MED15,PRELID3B,,B4GALT1,TIGAR,,GAR1,TBL1X,,TPD52,,XRN1,ALKBH5,RBBP7,ATRX,LUC7L3,SYF2,SEMA6A,PQBP1,,CAPZB,SNRNP70,RAP1GAP,,BMF,FZD3,WBP4,,GABRP,DTX2,ZNF638,PKIB,WBP4,OARD1,,C1QBP,SRRT,TMED2,,POLB,,GRK3,ZNF213,HNRNPC,SH2B3
MRAS,MAPKAPK5,C5orf22,RBBP7,ALG13,AK6,,HMOX2,TXLNA,MAPRE3,MYBL2,,SLC6A15,,RAB7A,,MANBAL,USP31,SMARCB1,DIDO1,,NFX1,SYNJ2,,FBXW7,RBBP7,,MCAM,,PRKAR2A,ZFHX4,PQBP1,AK6,EFTUD2,NSL1,PHGDH,PGK1,,GPR137B,CLPTM1,RARB,,EIF3J,BPNT2,FAM53C,,CDC23,PUS7,MARK3,MDM2,KDM3B,H2BC11,,B9D1,BAX,ERO1B,,ST6GALNAC1,,PLA2G3,RRN3,TOX4,CREBL2
H2BC5,ESF1,CCNT2,PQBP1,RBBP7,MYNN,,RBL2,NCOA1,ATRX,PRELID3B,,PRKACA,,SART3,,RPRD1B,DNAJA3,SF3A1,CSNK2A1,,SEPHS1,GNB1,,KLF3,FMR1,,GPC4,,ACAP2,ZC3HC1,PGK1,MYNN,SUPT6H,RPA2,GPATCH2,MAGT1,,FGFR1,YJU2B,TOP2B,,BLOC1S6,UBE2W,MYOT,,ARCN1,CDV3,FOSL2,EGLN1,NFYB,AHNAK,,ABI3,ATXN7L3,ZW10,,GBA2,,HIRA,CTTN,SEMA6A,NAA25
ZC3H18,ANAPC5,MRPL22,GATA1,SLC35A2,MECOM,,NOMO1,MAPRE3,AK6,PSMA7,,ACTN1,,MCM6,,PXMP4,RBL2,PPIL2,FERMT1,,MRPL28,SDF4,,CRYAB,PQBP1,,RAP1GAP,,RPL24,CD200,CDK16,MECOM,ELF2,PPP1R8,NUP50,CDK16,,FBLN1,MED25,TM9SF3,,TRIM35,NIPAL2,KDM3B,,PTGS1,ZFHX4,TMEM131,ARMC9,TNFRSF10B,RAP2A,,LUC7L3,PSMC5,ALG9,,PABPC1,,PATZ1,EPS15,PHGDH,RASAL1
ELK4,TMEM230,GEMIN5,HTATSF1,PQBP1,SLC25A24,,CORO2B,ATRX,MYNN,DIDO1,,PTPN18,,REXO2,,WFDC2,AAGAB,SNRPD3,SAMHD1,,RBM22,XRCC5,,ZPR1,EEA1,,TOP2B,,CYB561D2,PPP2R3C,HTATSF1,SLC25A24,GRPEL1,CREB1,GABRP,HTATSF1,,ACER3,SNAPC2,GTF3C1,,ZFAND1,NDRG1,GLT8D2,,WAC,CMA1,ACTB,NEK3,TARDBP,SOX9,,YWHAE,SH3BP2,SRRT,,PTPN21,,ANKRD54,USP40,EZR,CPSF6
CACHD1,OAS1,XPO1,SRPX2,PGK1,MAP3K4,,ACSBG1,AK6,MECOM,GID8,,RHOBTB1,,RBM7,,PPP1R16B,HOMER2,ESS2,MANBAL,,ZW10,LXN,,VWA5A,HTATSF1,,TM9SF3,,BBX,HNRNPC,MAGED2,MAP3K4,GAR1,TNFAIP3,MAP3K1,MAGED2,,UBE2K,ILVBL,DYNC1I2,,CA2,ZC2HC1A,NFYB,,FKBP5,HNRNPC,PLD1,BORA,COPS5,SNRPD2,,NAT9,TXNDC16,BAX,,CAMK2A,,MICALL1,DNAJA1,MFSD11,GAPDH
MORC3,RPLP0,PALB2,KLF5,MAGT1,RRN3,,RPAP1,MECOM,ABCB1,GMEB2,,SMC1A,,MLH1,,APMAP,GABPB1,CARD10,IDH3B,,SRRT,MKNK1,,DCPS,PIN4,,GTF3C1,,GBE1,SEMA6A,SRPX2,RRN3,SH3D19,LDAH,ARCN1,FNDC3A,,PIK3C3,GPI,SIRT6,,BPNT2,EEF1D,TNFRSF10B,,DSP,SEMA6A,DLG1,SETDB2,TRIM25,NECAB3,,TMEM33,RTRAF,ATXN7L3,,RPL31,,POLR2F,B4GALT1,GPATCH2,CHD4
PTMS,KIF16B,PIBF1,PARP4,HTATSF1,CTTN,,TMEM87A,MAP3K4,DDHD2,RNF24,,HSD17B10,,UNG,,ANKRD12,BMF,GRK3,SNTA1,,ATXN7L3,CDC14A,,PRPF19,CAB39L,,SNRPA,,HEMK1,TYRO3,VWA8,CTTN,UFSP2,C1orf198,NANS,SUPT20H,,HOXA9,SLC1A5,POLD3,,UBE2W,INTS10,SORBS3,,ACOT7,PHGDH,RAB7A,RAPGEF5,FAM117A,ID1,,ELF2,SF3B2,SH3BP2,,TRIP13,,TOMM22,NFX1,NUP50,GNPTAB
CPAMD8,TRMT6,PDS5B,RGCC,MAGED2,ATG16L1,,ATP8B4,RRN3,ORC1,ARFRP1,,MARK2,,FMO4,,MIB1,EIF3J,HIRA,E2F1,,SH3BP2,PAFAH1B3,,TMEM109,DNAJC3,,DYNC1I2,,INO80D,RFFL,CORO1A,USP40,KLF3,RAD23B,CWF19L1,MRPS31,,ITCH,HNRNPUL1,MCCC1,,ZC2HC1A,ERI1,TARDBP,,SCD,EZR,PTPN23,SRSF1,TSHZ3,ROMO1,,GRPEL1,AAMDC,L2HGDH,,ATP6AP1,,PPP6R2,SEPHS1,COMT,CMAS
U2AF1,CHGB,OXCT1,DGKH,SRPX2,RAD54L,,MYEF2,ORC1,USP40,RASSF2,,P4HA2,,GPC4,,PGRMC1,BLOC1S6,SH3BP1,RPRD1B,,TXNDC16,CARMIL1,,ARHGEF17,SUPT20H,,SIRT6,,LMAN2L,MFSD11,DHODH,RAD54L,DCPS,FKBP15,FKBP5,DHODH,,SDF4,MRPL4,PIK3C3,,GSDMD,MCM4,COPS5,,ABLIM1,DPYSL2,MLH1,ACTL6A,PYROXD1,RBM42,,GAR1,ALG6,TXNDC16,,TCF3,,SUN2,MRPL28,GABRP,FGFR1OP2
GAB3,PEBP1,RPS5,MGRN1,GLA,B4GALT1,,TRIM35,USP40,DNAJA1,CSNK2A1,,ACADVL,,RAP1GAP,,ALG13,MYEF2,PATZ1,PPP1R16B,,RTRAF,DDX1,,PDHX,CLN5,,GPR137B,,FAHD2A,NUP50,CTCF,B4GALT1,PRPF19,HSDL2,CDC5L,CTCF,,THOC1,ETFB,TIGAR,,EEF1D,ASAH1,AKAP1,,PALMD,GPATCH2,UNG,TRA2B,PDZRN3,UBA2,,FBXW7,KHSRP,RTRAF,,DAZAP1,,CHKB,FAT2,SUCO,PAK1IP1
TAOK1,TBX5,SMAP2,CORO1A,BEX4,NFX1,,CA2,NFX1,NFX1,SAMHD1,,STK10,,TOP2B,,NAA10,TRIM35,HSCB,VAPA,,SF3B2,DNM2,,PTPMT1,MAPK3,,JADE1,,NCL,MAP3K1,NME3,NFX1,RNF141,IRF2BPL,SCD,CYB5B,,FKBP7,NAPA,SYNJ2,,HNRNPL,BNIP3L,TBX2,,MAST3,NUP50,FMO4,HLX,CRY2,RRAS,,SH3D19,EDEM2,SF3B2,,MBD3,,MCAT,RBM22,HOOK2,CEP85L
